OrderID,OrderDate,CustomerID,CustomerName,ProductSKU,ProductName,Category,Quantity,UnitPrice,TotalSale
ORD-00069,2023-11-18,CUS-00069,Optimum Sales Orders Inc,PRO-00069,OrderFusion 2023,Electronics,22,396.61,8725.42
ORD-00070,2025-08-08,CUS-00070,Catalyst Healthcare Corp,PRO-00070,OrderSphere Advanced,General Merchandise,95,513.49,48781.55
ORD-00071,2021-11-19,CUS-00071,Vanguard Retail Systems,PRO-00071,OrderFusion 2023,Electronics,35,914.57,32009.95
ORD-00072,2024-05-21,CUS-00072,Innovative Manufacturing Group,PRO-00072,RapidSales Tracker,Electronics,50,805.58,40279.0
ORD-00073,2022-04-13,CUS-00073,Synergy Technologies Inc,PRO-00073,OrderStream Flex,Electronics,8,560.17,4481.36
ORD-00074,2024-09-16,CUS-00074,Pinnacle Solutions Inc,PRO-00074,SalesMatrix Suite,Electronics,72,986.01,70992.72
ORD-00075,2022-02-22,CUS-00075,Unity Retail Industries,PRO-00075,InvoiceGenie 2.0,Electronics,18,882.29,15881.22
ORD-00076,2022-03-31,CUS-00076,Cohesion Logistics Solutions,PRO-00076,QuickSales Organizer,General Merchandise,53,855.96,45365.88
ORD-00077,2022-02-11,CUS-00077,Nexus Manufacturing Corp,PRO-00077,OrderCraft Pro,Electronics,18,79.69,1434.42
ORD-00078,2023-06-27,CUS-00078,Legacy Healthcare Corp,PRO-00078,OrderTracker 2023,General Merchandise,83,585.52,48598.16
ORD-00079,2021-04-09,CUS-00079,Nexus Manufacturing Corp,PRO-00079,OrderPilot 2024,General Merchandise,80,22.28,1782.4
ORD-00080,2021-08-26,CUS-00080,Fusion Finance Group,PRO-00080,SalesOptimizer Max,General Merchandise,83,45.21,3752.43
ORD-00081,2023-02-07,CUS-00081,Catalyst Healthcare Corp,PRO-00081,OrderFlow Pro,General Merchandise,88,435.08,38287.04
ORD-00082,2024-07-12,CUS-00082,Vertex Healthcare Solutions,PRO-00082,OrderSync Elite,Electronics,56,906.5,50764.0
ORD-00083,2025-10-04,CUS-00083,Titan Sales Orders LLC,PRO-00083,OrderSync Elite,Electronics,81,13.23,1071.63
ORD-00084,2023-12-12,CUS-00084,Horizon Logistics Solutions,PRO-00084,QuickQuote Pro,General Merchandise,82,191.22,15680.04
ORD-00085,2023-11-21,CUS-00085,Pinnacle Solutions Inc,PRO-00085,OrderNavigator Pro,General Merchandise,94,10.48,985.12
ORD-00086,2024-02-02,CUS-00086,Quantum Finance Industries,PRO-00086,SalesVision Pro,Electronics,16,614.91,9838.56
ORD-00087,2025-01-30,CUS-00087,Cohesion Logistics Solutions,PRO-00087,SalesFusion Max,General Merchandise,72,394.37,28394.64
ORD-00088,2021-07-18,CUS-00088,Noble Manufacturing Corp,PRO-00088,SalesFlow Manager,General Merchandise,44,545.78,24014.32
ORD-00089,2023-10-02,CUS-00089,Synergy Technologies Inc,PRO-00089,OrderMaster 360,Electronics,37,616.01,22792.37
ORD-00090,2025-04-25,CUS-00090,Elevate Supply Chain Solutions,PRO-00090,OrderFlow Pro,General Merchandise,67,276.59,18531.53
ORD-00091,2021-07-09,CUS-00091,Optimum Sales Orders Inc,PRO-00091,SalesConnect Advanced,Electronics,62,178.06,11039.72
ORD-00092,2021-07-18,CUS-00092,Apex Healthcare Systems,PRO-00092,SalesCentral 2023,General Merchandise,77,983.27,75711.79
ORD-00093,2021-11-04,CUS-00093,Integrity Retail Group,PRO-00093,OrderVision Pro,General Merchandise,11,961.37,10575.07
ORD-00094,2023-07-02,CUS-00094,Summit Retail Group,PRO-00094,OrderTracker Elite,Electronics,6,127.34,764.04
ORD-00095,2021-03-29,CUS-00095,Fusion Finance Group,PRO-00095,SalesFlow 2023,General Merchandise,93,911.12,84734.16
ORD-00096,2022-07-10,CUS-00096,Integrity Retail Group,PRO-00096,OrderPilot 2.0,Electronics,28,929.27,26019.56
ORD-00097,2023-11-13,CUS-00097,Titan Sales Orders LLC,PRO-00097,OrderCraft Max,Electronics,13,342.6,4453.8
ORD-00098,2023-05-20,CUS-00098,Summit Retail Group,PRO-00098,SalesFlow Manager,General Merchandise,99,659.44,65284.56
ORD-00099,2026-01-10,CUS-00099,Stratosphere Manufacturing Group,PRO-00099,OrderTracker Pro,General Merchandise,61,820.47,50048.67
